[2025-08-21 16:48:42] [INFO    ] discord.client: logging in using static token
[2025-08-21 16:48:43] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-21 16:48:43] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-21 16:48:43] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1407644225494978721', 'username': 'Bot 🤖', 'avatar': None, 'discriminator': '9378', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-21 16:48:44] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-21 16:48:44] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-21 16:48:44] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1407644225494978721', 'name': 'Bot 🤖', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1407644225494978721', 'username': 'Bot 🤖', 'avatar': None, 'discriminator': '9378', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'bdc6754b385e2e6de3b1b12aefcead861ac86d2130c7d02db3b50af294419692', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '798852865740242986', 'username': 'umarzulfiqar.pk', 'avatar': '5da1d5bb5f30d8c2d58fec2105381b7a', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Umar Zulfiqar', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-21 16:48:45] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-21 16:48:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-889j",{"micros":0.0}]']}}
[2025-08-21 16:48:45] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-21 16:48:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-21 16:48:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Bot 🤖', 'primary_guild': None, 'mfa_enabled': False, 'id': '1407644225494978721', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9378', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '36d8d9d90aee31b6907f1626670c0ee2', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1407636991239131136'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'tel-aviv', 'hongkong', 'bucharest'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1407644225494978721', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-889j",{"micros":731955,"calls":["id_created",{"micros":557,"calls":[]},"session_lookup_time",{"micros":246,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-93",{"micros":730132,"calls":["start_session",{"micros":715498,"calls":["discord-api-rpc-7f7b7cb588-zjmzf",{"micros":533296,"calls":["get_user",{"micros":19543},"get_guilds",{"micros":9086},"send_scheduled_deletion_message",{"micros":19},"guild_join_requests",{"micros":268},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":64760},"apex_experiments",{"micros":79861},"user_activities",{"micros":6},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":26,"calls":[]},"presence_started",{"micros":256,"calls":[]},"guilds_started",{"micros":88,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":14240,"calls":[]},"connect_finished",{"micros":14244,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-08-21 16:48:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-21 16:48:46] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 36d8d9d90aee31b6907f1626670c0ee2).
[2025-08-21 16:48:46] [DEBUG   ] discord.client: Dispatching event connect
